State,Incidentsp1000,Speedp1000,DUIp1000
Alabama,22,2.9,0.6
Alaska,17,1.9,1.3
Arizona,21.5,3.2,1.4
Arkansas,14.7,2.1,0.9
California,55,1.2,3.5
Colorado,24.5,4.2,1
Connecticut,25.8,1.8,1.3
Delaware,26.2,2.1,1
Florida,23.8,3.2,0.7
Georgia,24,2.9,0.7
Hawaii,26.3,2.4,1
Idaho,31.2,6.1,2.1
Illinois,19.3,3.4,0.4
Indiana,28.3,3.2,2.1
Iowa,29.2,7.3,2.3
Kansas,28.3,5.7,0.9
Kentucky,15.8,1,0.9
Louisiana,19.4,1.4,0.4
Maine,26.7,2.9,1.2
Maryland,34.9,2,1.4
Massachusetts,61.1,1.3,2
Michigan,15.3,1.6,1.2
Minnesota,24.8,4.9,1.6
Mississippi,21.2,2.4,0.5
Missouri,25.4,5.3,0.8
Montana,25.3,2.9,1.7
Nebraska,29.5,4.7,2.3
Nevada,27.6,3.6,1.4
New Hampshire,21.8,1.7,0.9
New Jersey,45.8,1.3,2.5
New Mexico,23.4,1.5,1.4
New York,21.5,1.6,1
North Carolina,39.6,1.8,2.9
North Dakota,34.7,8.1,2.2
Ohio,26,4.2,1.5
Oklahoma,15.9,1.6,0.8
Oregon,27.7,4.8,1.1
Pennsylvania,23.3,3.5,1.1
Rhode Island,60.6,2.4,1.9
South Carolina,27.7,2.5,0.6
South Dakota,24.7,5.2,1.2
Tennessee,29.3,2.3,2
Texas,24.7,1.9,1
Utah,32.1,6.2,1.5
Vermont,15.5,0.9,0.9
Virginia,26.5,3.2,1.6
Washington,37.4,5.7,1.5
West Virginia,18.4,1.7,0.5
Wisconsin,28.8,5.9,1.9
Wyoming,24.6,2.5,2.7
