"",,,,,,5 Year,
"",2019,2020,2021,2022,2023,AVG.,%
Fatal Crashes,496,546,524,534,577,535,0.5
Injury Crashes,"32,938","25,360","28,142","28,027","28,577","28,609",26.5
Property Damage Crashes,"82,583","69,728","80,243","79,908","81,247","78,742",73.0
Total Crashes,"116,017","95,634","108,909","108,469","110,401","107,886",100.0
"",,,,,,,
Total of All Fatalities,535,573,563,566,621,572,
Total Number Injured,"48,682","36,790","40,858","40,719","41,538","41,717",
"","116,017",,,
"120,000",,"108,909","108,469","110,401"
"95,634100,000",,,,
"80,000",,,,
"60,000",,,,
"40,000",,,,
"20,000",,,,
"95,634100,000"
"80,000"
"60,000"
"40,000"
"20,000"
"","48,682",,,,
"50,000",,,,,
"",,,"40,858","40,719","41,538"
"40,000",,"36,790",,,
"30,000",,,,,
"20,000",,,,,
"10,000",,,,,
"",,,,621
620,,,,
600,,,,
580,573,563,566,
560,,,,
535540,,,,
520,,,,
500,,,,
"",,,,,,,
Route Type,2019,2020,2021,2022,2023,AVG.,%
IS,"12,880","10,614","12,179","12,396","12,421","12,098",11.2
US,"9,209","7,774","9,230","8,908","9,195","8,863",8.2
MD,"32,888","26,622","30,030","30,386","30,854","30,156",28.0
CO,"28,172","22,918","25,676","25,723","25,843","25,666",23.8
MU,"9,248","7,697","8,296","7,804","7,662","8,141",7.5
GV,90,66,65,65,63,70,0.1
SR,129,57,68,91,125,94,0.1
OP,520,445,459,503,513,488,0.5
Balto. City CY,0,0,0,0,0,0,0.0
Parking Lots,"7,742","5,829","6,607","6,382","6,633","6,639",6.2
Unknown,"15,139","13,612","16,299","16,211","17,092","15,671",14.5
Total Crashes,"116,017","95,634","108,909","108,469","110,401","107,886",100.0
"",,,,,,,
"",,,,,,,
Route Type,2019,2020,2021,2022,2023,AVG.,%
IS,"3,295","2,449","2,802","2,756","2,790","2,818",9.9
US,"3,094","2,447","2,780","2,698","2,726","2,749",9.6
MD,"10,974","8,343","9,097","9,052","9,265","9,346",32.7
CO,"7,762","5,605","6,258","6,309","6,271","6,441",22.5
MU,"2,958","2,388","2,361","2,307","2,319","2,467",8.6
GV,29,23,14,14,18,20,0.1
SR,30,9,13,27,30,22,0.1
OP,122,92,106,114,118,110,0.4
Balto. City CY,0,0,0,0,0,0,0.0
Parking Lots,850,632,707,689,752,726,2.5
Unknown,"3,824","3,372","4,004","4,061","4,288","3,910",13.7
"",,,,,,,
Route Type,2019,2020,2021,2022,2023,AVG.,%
IS,63,51,64,78,69,65,12.1
US,70,69,91,58,94,76,14.3
MD,207,254,213,242,257,235,43.8
CO,93,118,100,102,107,104,19.4
MU,35,31,20,31,20,27,5.1
GV,3,3,10,6,6,6,1.0
SR,0,0,0,0,1,0,0.0
OP,2,1,1,1,1,1,0.2
Balto. City CY,0,0,0,0,0,0,0.0
Parking Lots,2,0,1,2,1,1,0.2
Unknown,21,19,24,14,21,20,3.7
County,2019,2020,2021,2022,2023,AVG.,%
Allegany,655,695,804,758,805,743,0.7
Anne  Arundel,"10,639","8,560","9,494","9,570","9,636","9,580",8.9
Baltimore,"21,701","17,799","20,388","20,587","20,248","20,145",18.7
Calvert,"1,125",956,"1,029","1,087","1,034","1,046",1.0
Caroline,515,465,489,507,538,503,0.5
Carroll,"2,109","1,674","1,865","1,899","1,952","1,900",1.8
Cecil,"1,743","1,526","1,640","1,652","1,680","1,648",1.5
Charles,"2,914","2,482","2,893","2,882","2,905","2,815",2.6
Dorchester,563,517,526,523,577,541,0.5
Frederick,"3,602","2,780","3,363","3,458","3,446","3,330",3.1
Garrett,542,461,487,459,516,493,0.5
Harford,"3,323","2,848","3,254","3,288","3,359","3,214",3.0
Howard,"4,125","2,990","3,629","3,892","4,187","3,765",3.5
Kent,241,210,211,268,272,240,0.2
Montgomery,"13,853","9,731","11,217","12,215","13,055","12,014",11.1
Prince  George's,"20,564","17,161","19,993","19,734","20,591","19,609",18.2
Queen  Anne's,790,728,781,822,914,807,0.7
St.  Mary's,"1,755","1,448","1,683","1,645","1,595","1,625",1.5
Somerset,330,282,330,330,343,323,0.3
Talbot,775,689,803,765,820,770,0.7
Washington,"2,527","2,328","2,487","2,504","2,538","2,477",2.3
Wicomico,"2,217","1,975","2,147","2,077","2,077","2,099",1.9
Worcester,"1,402","1,278","1,461","1,367","1,349","1,371",1.3
Baltimore  City,"18,007","16,051","17,935","16,180","15,964","16,827",15.6
Total  Crashes,"116,017","95,634","108,909","108,469","110,401","107,886",100.0
County,2019,2020,2021,2022,2023,AVG.,%
Allegany,214,226,246,228,238,230,0.8
Anne  Arundel,"3,232","2,414","2,670","2,688","2,791","2,759",9.6
Baltimore,"5,040","3,904","4,428","4,413","4,235","4,404",15.4
Calvert,348,275,300,289,285,299,1.0
Caroline,161,131,128,175,151,149,0.5
Carroll,562,378,457,494,494,477,1.7
Cecil,496,425,458,453,479,462,1.6
Charles,845,697,780,802,781,781,2.7
Dorchester,201,193,182,165,222,193,0.7
Frederick,"1,125",812,965,"1,012","1,048",992,3.5
Garrett,190,142,143,137,140,150,0.5
Harford,973,784,841,859,943,880,3.1
Howard,"1,030",681,819,877,893,860,3.0
Kent,72,58,59,52,71,62,0.2
Montgomery,"4,634","3,046","3,378","3,628","3,896","3,716",13.0
Prince  George's,"4,955","3,654","4,132","3,854","3,947","4,108",14.4
Queen  Anne's,229,193,212,217,242,219,0.8
St.  Mary's,599,495,641,593,593,584,2.0
Somerset,113,87,77,80,110,93,0.3
Talbot,261,192,228,217,238,227,0.8
Washington,786,670,678,711,745,718,2.5
Wicomico,757,645,632,636,645,663,2.3
Worcester,399,375,409,389,365,387,1.4
Baltimore  City,"5,716","4,883","5,279","5,058","5,025","5,192",18.1
Injury  Crashes,"32,938","25,360","28,142","28,027","28,577","28,609",100.0
County,2019,2020,2021,2022,2023,AVG.,%
Allegany,4,6,9,8,9,7,1.3
Anne  Arundel,41,49,34,46,42,42,7.9
Baltimore,57,60,75,63,83,68,12.6
Calvert,6,10,8,8,10,8,1.6
Caroline,5,5,3,5,8,5,1.0
Carroll,14,15,5,7,9,10,1.9
Cecil,15,16,16,19,24,18,3.4
Charles,18,25,17,23,20,21,3.8
Dorchester,6,4,2,4,5,4,0.8
Frederick,24,23,23,30,30,26,4.9
Garrett,5,10,4,6,4,6,1.1
Harford,15,16,18,18,23,18,3.4
Howard,21,26,31,29,23,26,4.9
Kent,3,6,8,2,1,4,0.7
Montgomery,36,44,40,45,45,42,7.8
Prince  George's,100,106,120,117,129,114,21.4
Queen  Anne's,3,5,4,4,11,5,1.0
St.  Mary's,15,14,17,8,13,13,2.5
Somerset,3,4,4,3,3,3,0.6
Talbot,10,1,5,4,4,5,0.9
Washington,22,10,12,19,16,16,3.0
Wicomico,17,11,12,10,13,13,2.4
Worcester,11,17,10,11,7,11,2.1
Baltimore  City,45,63,47,45,45,49,9.2
Fatal  Crashes,496,546,524,534,577,535,100.0
"",,,,,,,
Month,2019,2020,2021,2022,2023,AVG.,%
January,"9,244","8,683","7,458","7,961","8,292","8,328",7.7
February,"8,814","8,418","7,124","7,788","7,756","7,980",7.4
March,"9,316","7,238","8,129","8,751","9,163","8,519",7.9
April,"9,327","4,779","8,379","8,668","9,106","8,052",7.5
May,"10,573","6,405","9,817","9,741","9,713","9,250",8.6
June,"9,723","7,926","9,637","8,917","9,292","9,099",8.4
July,"9,552","8,899","9,492","8,792","9,094","9,166",8.5
August,"9,462","8,925","9,492","8,836","8,996","9,142",8.5
September,"9,299","8,436","9,739","9,123","9,487","9,217",8.5
October,"10,631","9,222","10,433","10,322","10,056","10,133",9.4
November,"9,768","8,308","9,871","9,705","9,686","9,468",8.8
December,"10,308","8,395","9,338","9,865","9,760","9,533",8.8
Unknown,0,0,0,0,0,0,0.0
"",,,,,,,
Month,2019,2020,2021,2022,2023,AVG.,%
January,"2,387","2,429","1,765","1,608","2,023","2,042",7.1
February,"2,329","2,218","1,614","1,935","1,894","1,998",7.0
March,"2,553","1,900","2,127","2,184","2,325","2,218",7.8
April,"2,648","1,135","2,210","2,334","2,418","2,149",7.5
May,"3,048","1,610","2,678","2,548","2,407","2,458",8.6
June,"2,908","2,166","2,666","2,503","2,391","2,527",8.8
July,"2,832","2,471","2,594","2,442","2,496","2,567",9.0
August,"2,810","2,431","2,562","2,489","2,535","2,565",9.0
September,"2,866","2,376","2,670","2,513","2,555","2,596",9.1
October,"3,107","2,505","2,678","2,653","2,625","2,714",9.5
November,"2,663","2,109","2,320","2,437","2,489","2,404",8.4
December,"2,787","2,010","2,258","2,381","2,419","2,371",8.3
Unknown,0,0,0,0,0,0,0.0
"",,,,,,,
Month,2019,2020,2021,2022,2023,AVG.,%
January,33,18,33,41,35,32,6.0
February,38,37,26,33,37,34,6.4
March,33,50,43,48,48,44,8.3
April,38,24,41,33,38,35,6.5
May,43,46,48,48,53,48,8.9
June,38,50,39,52,58,47,8.9
July,44,54,42,39,54,47,8.7
August,54,73,63,56,55,60,11.2
September,56,48,50,38,57,50,9.3
October,40,68,48,54,54,53,9.9
November,37,46,56,40,41,44,8.2
December,42,32,35,52,47,42,7.8
Unknown,0,0,0,0,0,0,0.0
"",,,,,,,
Day  of  Week,2019,2020,2021,2022,2023,AVG.,%
Monday,"16,509","13,260","14,730","14,540","14,781","14,764",13.7
Tuesday,"17,170","13,075","14,804","15,246","15,257","15,110",14.0
Wednesday,"16,499","13,825","15,395","15,168","15,647","15,307",14.2
Thursday,"16,838","14,000","15,820","15,523","15,695","15,575",14.4
Friday,"18,800","15,606","17,630","17,569","17,741","17,469",16.2
"SaturdaySunday","15,813","13,910","16,442","16,542","16,274","15,796",14.6
"","14,388","11,958","14,088","13,881","15,006","13,864",12.9
Unknown,0,0,0,0,0,0,0.0
"",,,,,,,
Day  of  Week,2019,2020,2021,2022,2023,AVG.,%
Monday,"4,751","3,523","3,829","3,701","3,936","3,948",13.8
Tuesday,"4,980","3,526","3,893","3,938","4,067","4,081",14.3
Wednesday,"4,710","3,772","4,083","3,971","4,086","4,124",14.4
Thursday,"4,824","3,702","4,110","4,043","4,191","4,174",14.6
Friday,"5,358","4,151","4,519","4,602","4,538","4,634",16.2
"SaturdaySunday","4,407","3,602","4,202","4,194","4,110","4,103",14.3
"","3,908","3,084","3,506","3,578","3,649","3,545",12.4
Unknown,0,0,0,0,0,0,0.0
"",,,,,,,
Day  of  Week,2019,2020,2021,2022,2023,AVG.,%
Monday,67,75,69,61,72,69,12.9
Tuesday,72,75,58,51,62,64,11.9
Wednesday,53,64,47,85,83,66,12.4
Thursday,60,78,70,74,76,72,13.4
Friday,71,72,85,71,80,76,14.2
"SaturdaySunday",87,98,97,102,93,95,17.8
"",86,84,98,90,111,94,17.5
Unknown,0,0,0,0,0,0,0.0
Fatal  Crashes,496,546,524,534,577,535,100.0
Time of Day,2019,2020,2021,2022,2023,AVG.,%
12:00 Midnight,"3,023","2,647","3,123","2,979","3,076","2,970",2.8
1:00,"2,354","2,109","2,456","2,513","2,483","2,383",2.2
2:00,"2,174","1,807","2,367","2,332","2,264","2,189",2.0
3:00,"1,683","1,401","1,756","1,801","1,804","1,689",1.6
4:00,"1,443","1,273","1,479","1,591","1,613","1,480",1.4
5:00,"2,135","1,765","1,912","2,050","2,109","1,994",1.8
6:00,"3,275","2,587","2,800","2,999","3,029","2,938",2.7
7:00,"5,451","3,303","4,160","4,586","4,672","4,434",4.1
8:00,"5,926","3,683","4,501","5,200","5,448","4,952",4.6
9:00,"5,261","3,640","4,259","4,486","4,634","4,456",4.1
10:00,"5,033","4,037","4,407","4,594","4,455","4,505",4.2
11:00,"5,402","4,627","5,000","4,966","4,798","4,959",4.6
12:00 Noon,"6,442","5,548","5,963","5,709","5,729","5,878",5.4
1:00,"6,180","5,282","5,978","5,705","5,603","5,750",5.3
2:00,"6,885","5,852","6,486","6,337","6,485","6,409",5.9
3:00,"8,287","6,800","7,882","7,782","8,075","7,765",7.2
4:00,"8,460","6,751","7,970","7,719","7,921","7,764",7.2
5:00,"8,655","6,944","7,897","7,823","8,053","7,874",7.3
6:00,"7,058","6,125","6,630","6,471","6,681","6,593",6.1
7:00,"5,359","4,808","5,414","5,305","5,444","5,266",4.9
8:00,"4,548","4,323","4,845","4,609","4,688","4,603",4.3
9:00,"4,268","3,907","4,512","4,175","4,320","4,236",3.9
10:00,"3,532","3,336","3,605","3,542","3,562","3,515",3.3
11:00,"3,183","3,079","3,506","3,195","3,455","3,284",3.0
Unknown,0,0,1,0,0,0,0.0
Total  Crashes,"116,017","95,634","108,909","108,469","110,401","107,886",100.0
Time of Day,2019,2020,2021,2022,2023,AVG.,%
12:00 Midnight,651,532,606,645,636,614,2.1
1:00,509,466,530,539,519,513,1.8
2:00,464,366,456,448,446,436,1.5
3:00,320,256,356,354,343,326,1.1
4:00,332,253,301,335,340,312,1.1
5:00,546,402,446,510,458,472,1.7
6:00,905,666,686,742,802,760,2.7
7:00,"1,616",855,"1,043","1,229","1,252","1,199",4.2
8:00,"1,773",980,"1,178","1,325","1,415","1,334",4.7
9:00,"1,508",960,"1,063","1,152","1,284","1,193",4.2
10:00,"1,456","1,059","1,189","1,249","1,165","1,224",4.3
11:00,"1,590","1,284","1,342","1,315","1,297","1,366",4.8
12:00 Noon,"1,876","1,523","1,613","1,522","1,561","1,619",5.7
1:00,"1,863","1,445","1,690","1,523","1,503","1,605",5.6
2:00,"2,119","1,650","1,782","1,755","1,807","1,823",6.4
3:00,"2,488","1,956","2,149","2,128","2,223","2,189",7.7
4:00,"2,520","1,911","2,135","2,119","2,052","2,147",7.5
5:00,"2,472","1,969","2,173","2,129","2,196","2,188",7.6
6:00,"2,119","1,688","1,813","1,645","1,772","1,807",6.3
7:00,"1,570","1,350","1,493","1,465","1,452","1,466",5.1
8:00,"1,324","1,210","1,257","1,196","1,233","1,244",4.3
9:00,"1,231","1,043","1,157","1,072","1,144","1,129",3.9
10:00,952,803,916,869,864,881,3.1
11:00,734,733,768,761,813,762,2.7
Unknown,0,0,0,0,0,0,0.0
Injury  Crashes,"32,938","25,360","28,142","28,027","28,577","28,609",100.0
Time of Day,2019,2020,2021,2022,2023,AVG.,%
12:00 Midnight,26,27,28,25,26,26,4.9
1:00,22,20,24,24,16,21,4.0
2:00,19,21,31,22,20,23,4.2
3:00,19,13,17,25,22,19,3.6
4:00,9,15,13,19,16,14,2.7
5:00,12,19,16,14,24,17,3.2
6:00,16,13,12,23,14,16,2.9
7:00,24,19,14,17,13,17,3.2
8:00,16,9,7,11,16,12,2.2
9:00,9,12,4,12,22,12,2.2
10:00,14,15,9,15,15,14,2.5
11:00,18,15,10,16,21,16,3.0
12:00 Noon,21,19,20,22,26,22,4.0
1:00,23,19,17,25,20,21,3.9
2:00,13,23,30,18,19,21,3.8
3:00,20,26,27,19,24,23,4.3
4:00,23,22,27,23,25,24,4.5
5:00,23,28,33,23,28,27,5.0
6:00,28,21,27,32,32,28,5.2
7:00,26,32,30,23,29,28,5.2
8:00,28,42,30,37,35,34,6.4
9:00,29,50,43,23,41,37,6.9
10:00,25,42,28,32,42,34,6.3
11:00,33,24,26,34,31,30,5.5
Unknown,0,0,1,0,0,0,0.0
Fatal Crashes,496,546,524,534,577,535,100.0
Driver  Age,2019,2020,2021,2022,2023,AVG.,%
15  and  Under,174,198,228,281,340,244,0.1
16,786,548,660,812,956,752,0.4
17,"2,555","1,845","2,398","2,500","2,683","2,396",1.2
18,"3,343","2,708","3,235","3,237","3,275","3,160",1.6
19,"3,811","3,291","3,730","3,481","3,449","3,552",1.8
20,"3,859","3,601","3,987","3,649","3,605","3,740",1.9
21  -  24,"17,276","14,995","17,358","16,541","16,192","16,472",8.2
25  -  29,"23,240","18,762","21,392","20,140","19,321","20,571",10.3
30  -  34,"21,100","17,181","20,088","20,129","19,691","19,638",9.8
35  -  39,"18,248","14,182","16,725","17,229","17,671","16,811",8.4
40  -  44,"14,953","11,576","14,126","14,683","15,012","14,070",7.0
45  -  49,"14,171","10,301","11,383","12,202","12,079","12,027",6.0
50  -  54,"13,890","10,184","11,516","11,682","11,553","11,765",5.9
55  -  59,"12,713","9,600","10,764","10,899","10,908","10,977",5.5
60  -  64,"9,931","7,444","8,625","9,055","9,289","8,869",4.4
65  -  69,"6,633","4,727","5,729","6,193","6,504","5,957",3.0
70  -  79,"7,396","5,292","6,272","7,223","7,522","6,741",3.4
80  +,"3,091","2,152","2,349","2,559","2,815","2,593",1.3
Unknown,"41,036","36,521","41,878","38,825","42,228","40,098",20.0
Total  Drivers,"218,206","175,108","202,443","201,320","205,093","200,434",100.0
Driver  Age,2019,2020,2021,2022,2023,AVG.,%
15  and  Under,46,44,57,75,86,62,0.2
16,111,79,100,134,149,115,0.4
17,418,315,338,330,388,358,1.3
18,547,407,487,455,493,478,1.7
19,661,509,609,584,553,583,2.1
20,694,614,668,575,547,620,2.3
21  -  24,"2,914","2,482","2,684","2,646","2,590","2,663",9.7
25  -  29,"4,029","3,189","3,510","3,166","3,039","3,387",12.4
30  -  34,"3,524","2,925","3,350","3,132","3,076","3,201",11.7
35  -  39,"3,100","2,299","2,674","2,762","2,878","2,743",10.0
40  -  44,"2,463","1,962","2,205","2,300","2,351","2,256",8.2
45  -  49,"2,408","1,714","1,838","1,952","2,019","1,986",7.3
50  -  54,"2,496","1,763","1,958","1,945","1,922","2,017",7.4
55  -  59,"2,267","1,775","1,912","1,889","1,850","1,939",7.1
60  -  64,"1,831","1,358","1,548","1,615","1,647","1,600",5.8
65  -  69,"1,287",909,"1,107","1,131","1,200","1,127",4.1
70  -  79,"1,565","1,091","1,218","1,413","1,458","1,349",4.9
80  +,642,437,520,506,622,545,2.0
Unknown,327,319,401,342,348,347,1.3
Injured  Drivers,"31,330","24,191","27,184","26,952","27,216","27,375",100.0
Driver  Age,2019,2020,2021,2022,2023,AVG.,%
15  and  Under,1,1,0,1,2,1,0.3
16,1,0,2,1,0,1,0.2
17,2,4,2,6,1,3,0.9
18,4,4,3,5,4,4,1.2
19,7,6,8,5,5,6,1.8
20,4,13,8,12,9,9,2.7
21  -  24,40,40,27,31,31,34,10.0
25  -  29,28,43,46,44,45,41,12.2
30  -  34,30,31,50,40,44,39,11.5
35  -  39,25,33,32,24,29,29,8.4
40  -  44,15,24,25,28,33,25,7.4
45  -  49,21,18,24,19,15,19,5.7
50  -  54,24,34,35,29,20,28,8.4
55  -  59,26,26,24,23,33,26,7.8
60  -  64,10,19,19,23,22,19,5.5
65  -  69,14,7,9,10,12,10,3.1
70  -  79,24,31,20,26,20,24,7.1
80  +,18,14,6,18,22,16,4.6
Unknown,10,1,3,5,2,4,1.2
Driver Fatalities,304,349,343,350,349,339,100.0
"",,,,,,,
Driver  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"104,391","86,320","97,993","98,007","98,079","96,958",48.4
Female,"72,205","52,308","62,759","64,677","64,981","63,386",31.6
Unknown,"41,610","36,480","41,691","38,636","42,033","40,090",20.0
"",,,,,,,
Driver  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,"15,524","13,034","14,242","13,993","13,928","14,144",51.7
Female,"15,383","10,819","12,537","12,625","12,944","12,862",47.0
Unknown,423,338,405,334,344,369,1.3
"",,,,,,,
Driver  Gender,2019,2020,2021,2022,2023,AVG.,%
Male,231,278,272,268,264,263,77.5
Female,67,71,68,76,82,73,21.5
Unknown,6,0,3,6,3,4,1.1
Safety Equipment,2019,2020,2021,2022,2023,AVG.,%
Not Applicable,"13,487","12,032","14,763","15,010","16,420","14,342",7.2
None,"3,840","3,753","4,202","4,249","4,222","4,053",2.0
Lap belt only,700,755,821,754,779,762,0.4
Shoulder belt only,"1,351","1,070",999,"1,036","1,055","1,102",0.5
Shoulder/Lap belt(s),"148,558","113,501","131,082","132,557","132,505","131,641",65.7
